removed,remaining,aG,e1_mult,e0_mult,CIS,strategy
1,32,0.22359960790215574,8,1,5.5,degree
2,31,0.0,6,4,3.0,degree
3,30,-2.1616012044948358e-16,0,11,3.0,degree
4,29,-3.141692646100895e-16,0,14,2.0,degree
5,28,0.0,0,15,1.0,degree
6,27,0.0,0,16,1.6666666666666667,degree
7,26,0.0,1,18,1.3333333333333333,degree
8,25,0.0,1,18,1.0,degree
9,24,0.0,1,18,1.3333333333333333,degree
10,23,0.0,2,18,1.3333333333333333,degree
11,22,0.0,2,17,1.3333333333333333,degree
12,21,0.0,2,16,1.3333333333333333,degree
13,20,0.0,2,16,1.3333333333333333,degree
14,19,0.0,2,15,2.0,degree
15,18,0.0,1,16,1.5,degree
16,17,0.0,1,15,1.3333333333333333,degree
17,16,0.0,1,14,1.5,degree
18,15,0.0,1,13,1.5,degree
19,14,0.0,1,12,1.5,degree
20,13,0.0,1,11,1.5,degree
21,12,0.0,1,10,1.5,degree
22,11,0.0,0,10,1.0,degree
23,10,0.0,0,10,1.0,degree
24,9,0.0,0,9,1.0,degree
25,8,0.0,0,8,1.0,degree
26,7,0.0,0,7,1.0,degree
27,6,0.0,0,6,1.0,degree
28,5,0.0,0,5,1.0,degree
29,4,0.0,0,4,1.0,degree
30,3,0.0,0,3,1.0,degree
31,2,0.0,0,2,1.0,degree
