node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
JNB-GREY2-TSN42-UJBU-2,1,32,0.22359960790215574,8,1,5.5,random,0.22359960790215574,1.0,8.0,5.5
JNB-TSN251-GIBS,2,31,0.20093545151164913,8,1,5.25,random,0.21226752970690244,1.0,8.0,5.375
JNB-GREY2-TSN295-CSIR-CTF,3,30,0.19964448863291992,8,1,5.666666666666667,random,0.20805984934890828,1.0,8.0,5.472222222222222
JNB-GREY1-TSN110-WITSE,4,29,0.1285692021950026,10,1,5.333333333333333,random,0.18818718756043185,1.0,8.5,5.4375
JNB-GREY2-TSN99-CSMI,5,28,0.1995981800868294,9,1,5.333333333333333,random,0.19046938606571134,1.0,8.6,5.416666666666666
CAPE,6,27,0.2006000247350724,9,1,4.666666666666667,random,0.19215782584393817,1.0,8.666666666666666,5.291666666666667
JNB-GREY2-TSN171-UJSO,7,26,0.20211484549036213,8,1,4.666666666666667,random,0.19358025722199876,1.0,8.571428571428571,5.202380952380952
JNB-TSN199-UNISA-SBL-PE,8,25,0.2019348544984013,8,1,4.333333333333333,random,0.19462458188154907,1.0,8.5,5.09375
ISD1,9,24,0.2033311219319847,7,1,4.333333333333333,random,0.19559197522048635,1.0,8.333333333333334,5.0092592592592595
SDT-TSN535-UCT-GSB,10,23,-7.1408995901628e-16,5,5,3.0,random,0.17603277769843767,1.4,8.0,4.808333333333334
JNB-GREY1-TSN112-WITSM,11,22,-3.658665419849324e-16,5,6,3.0,random,0.16002979790767055,1.8181818181818181,7.7272727272727275,4.6439393939393945
VDP,12,21,-2.6197589219108534e-16,5,6,3.0,random,0.14669398141536466,2.1666666666666665,7.5,4.506944444444445
JNB-TSN44-UJ-DF-PE,13,20,-9.342681049014491e-17,4,6,3.0,random,0.13540982899879814,2.4615384615384617,7.230769230769231,4.391025641025641
JNB-TSN949-GIBS-NORTH,14,19,-3.7646410663086703e-16,5,6,3.0,random,0.12573769835602683,2.7142857142857144,7.071428571428571,4.291666666666667
UNISA,15,18,-4.054493034890694e-16,5,5,3.0,random,0.11735518513229166,2.8666666666666667,6.933333333333334,4.205555555555556
JNB-TSN76-UNISA-FLORIDA-PE,16,17,-7.011043298247135e-16,5,4,3.0,random,0.1100204860615234,2.9375,6.8125,4.130208333333333
JNB-GREY2-TSN659-WITS-CLMDC,17,16,-2.2318261822006364e-16,5,4,2.5,random,0.10354869276378671,3.0,6.705882352941177,4.034313725490196
JNB-GREY-TSN284-WITS-HJH,18,15,1.0623953392706538e-16,4,4,2.5,random,0.09779598761024301,3.0555555555555554,6.555555555555555,3.949074074074074
JNB1,19,14,-2.346364489094487e-16,4,4,2.0,random,0.09264883036759863,3.1052631578947367,6.421052631578948,3.846491228070175
JNB-GREY2-TSN42-UJBU,20,13,-4.0772693842741357e-17,5,5,4.5,random,0.0880163888492187,3.2,6.35,3.8791666666666664
JNB5-TSN249,21,12,-1.2410546823881578e-16,4,5,4.0,random,0.08382513223735114,3.2857142857142856,6.238095238095238,3.884920634920635
JNB-GREY1-TSN690-NHLS-BRAAM,22,11,-1.9453035960191425e-16,3,5,3.5,random,0.08001489895383516,3.3636363636363638,6.090909090909091,3.867424242424242
BLOEM2,23,10,-6.058095124196935e-17,2,5,4.0,random,0.07653599030366842,3.4347826086956523,5.913043478260869,3.873188405797101
JNB-NHLS-TSN677-SAND,24,9,-4.819532301311761e-33,1,5,3.0,random,0.07334699070768223,3.5,5.708333333333333,3.8368055555555554
BLOEM3,25,8,2.918305305356876e-17,1,4,3.0,random,0.07041311107937495,3.52,5.52,3.8033333333333332
DURBS,26,7,3.0205943604740193e-17,1,3,3.0,random,0.06770491449939899,3.5,5.346153846153846,3.7724358974358974
JNB2,27,6,6.249000009906442e-17,1,2,3.0,random,0.06519732507349532,3.4444444444444446,5.185185185185185,3.743827160493827
MTZ,28,5,0.0,0,4,1.0,random,0.06286884917801334,3.4642857142857144,5.0,3.645833333333333
CPT1,29,4,0.0,0,3,1.0,random,0.06070095782704737,3.4482758620689653,4.827586206896552,3.554597701149425
JNB-GREY-TSN285-WITS-RMH,30,3,0.0,0,2,1.0,random,0.05867759256614579,3.4,4.666666666666667,3.469444444444444
JNB3,31,2,0.0,0,2,1.0,random,0.056784766999495924,3.3548387096774195,4.516129032258065,3.389784946236559
