node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
5,1,61,0.05663163428322995,4,1,4.142857142857143,betweeness,0.05663163428322995,1.0,4.0,4.142857142857143
1,2,60,-9.423673323742968e-17,4,5,2.5,betweeness,0.028315817141614925,3.0,4.0,3.3214285714285716
22,3,59,-3.897710189079104e-16,3,10,1.8333333333333333,betweeness,0.018877211427743155,5.333333333333333,3.6666666666666665,2.8253968253968256
23,4,58,-8.160525659939457e-16,3,13,1.8333333333333333,betweeness,0.014157908570807162,7.25,3.5,2.5773809523809526
51,5,57,-4.800265583253822e-16,4,13,1.6666666666666667,betweeness,0.011326326856645632,8.4,3.6,2.395238095238095
11,6,56,-5.436591535546703e-16,5,14,1.6666666666666667,betweeness,0.00943860571387127,9.333333333333334,3.8333333333333335,2.2738095238095237
9,7,55,-6.189611084731352e-16,4,14,1.3333333333333333,betweeness,0.00809023346903243,10.0,3.857142857142857,2.139455782312925
21,8,54,-5.128124139029553e-16,3,15,1.3333333333333333,betweeness,0.007078954285403311,10.625,3.75,2.0386904761904763
43,9,53,-5.063942626826988e-16,4,15,1.8333333333333333,betweeness,0.006292403809247332,11.11111111111111,3.7777777777777777,2.015873015873016
44,10,52,-7.132740876959069e-16,3,15,1.8333333333333333,betweeness,0.005663163428322527,11.5,3.7,1.9976190476190474
19,11,51,-1.1219769485345363e-15,2,16,1.6666666666666667,betweeness,0.005148330389384014,11.909090909090908,3.5454545454545454,1.9675324675324675
41,12,50,-7.047532584582223e-16,1,16,2.0,betweeness,0.004719302856935287,12.25,3.3333333333333335,1.9702380952380951
8,13,49,-7.671331912735769e-16,2,16,1.8,betweeness,0.004356279560247898,12.538461538461538,3.230769230769231,1.957142857142857
10,14,48,-8.416258217266982e-16,3,16,1.8,betweeness,0.004045116734515845,12.785714285714286,3.2142857142857144,1.945918367346939
40,15,47,-4.762818509183268e-16,2,16,1.6,betweeness,0.0037754422855480903,13.0,3.1333333333333333,1.9228571428571428
26,16,46,-8.699286604705565e-16,1,16,1.8,betweeness,0.0035394771427012806,13.1875,3.0,1.9151785714285714
18,17,45,-7.289450743328264e-16,1,16,1.2,betweeness,0.00333127260489528,13.352941176470589,2.8823529411764706,1.873109243697479
45,18,44,-8.549535213192237e-16,1,16,1.6,betweeness,0.0031462019046232725,13.5,2.7777777777777777,1.857936507936508
42,19,43,-6.794809472029966e-16,1,16,1.8333333333333333,betweeness,0.002980612330695696,13.631578947368421,2.6842105263157894,1.856641604010025
29,20,42,-1.020644947785816e-15,2,16,1.2,betweeness,0.0028315817141608603,13.75,2.65,1.8238095238095238
56,21,41,-1.0104295293950192e-15,2,17,1.6,betweeness,0.002696744489676962,13.904761904761905,2.619047619047619,1.8131519274376418
20,22,40,-2.948786013446052e-16,3,19,1.6,betweeness,0.002574165194691632,14.136363636363637,2.6363636363636362,1.8034632034632034
46,23,39,-4.617316546741866e-16,4,19,1.0,betweeness,0.002462244968835454,14.347826086956522,2.6956521739130435,1.7685300207039338
39,24,38,-3.6493429039345277e-16,3,19,2.0,betweeness,0.002359651428467295,14.541666666666666,2.7083333333333335,1.7781746031746033
38,25,37,-6.361157128503278e-16,3,19,1.5,betweeness,0.0022652653713285775,14.72,2.72,1.7670476190476192
28,26,36,-2.5257343558364155e-16,3,18,1.5,betweeness,0.0021781397801236228,14.846153846153847,2.730769230769231,1.7567765567765568
50,27,35,0.0,3,19,1.0,betweeness,0.0020974679364153402,15.0,2.740740740740741,1.728747795414462
17,28,34,0.0,3,19,1.2,betweeness,0.0020225583672576495,15.142857142857142,2.75,1.7098639455782314
24,29,33,0.0,2,19,1.5,betweeness,0.0019528149752832478,15.275862068965518,2.7241379310344827,1.7026272577996717
48,30,32,0.0,2,19,2.0,betweeness,0.0018877211427738062,15.4,2.7,1.7125396825396826
16,31,31,0.0,2,18,1.0,betweeness,0.001826826912361748,15.483870967741936,2.6774193548387095,1.6895545314900156
15,32,30,0.0,3,18,1.3333333333333333,betweeness,0.0017697385713504434,15.5625,2.6875,1.678422619047619
14,33,29,0.0,2,18,1.3333333333333333,betweeness,0.0017161101297943693,15.636363636363637,2.6666666666666665,1.667965367965368
13,34,28,0.0,2,18,1.5,betweeness,0.0016656363024474762,15.705882352941176,2.6470588235294117,1.6630252100840337
3,35,27,0.0,2,17,1.3333333333333333,betweeness,0.0016180466938061197,15.742857142857142,2.6285714285714286,1.6536054421768707
58,36,26,0.0,2,17,1.3333333333333333,betweeness,0.0015731009523115053,15.777777777777779,2.611111111111111,1.6447089947089948
