node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
5,1,61,0.05663163428322995,4,1,4.142857142857143,closeness,0.05663163428322995,1.0,4.0,4.142857142857143
1,2,60,-9.423673323742968e-17,4,5,2.5,closeness,0.028315817141614925,3.0,4.0,3.3214285714285716
23,3,59,-3.897710189079104e-16,3,10,2.5,closeness,0.018877211427743155,5.333333333333333,3.6666666666666665,3.0476190476190474
60,4,58,-3.4325038736449257e-16,4,10,2.0,closeness,0.01415790857080728,6.5,3.75,2.7857142857142856
61,5,57,-4.9472978431936055e-16,4,9,2.3333333333333335,closeness,0.011326326856645724,7.0,3.8,2.6952380952380954
51,6,56,-5.956076270669117e-16,4,8,2.3333333333333335,closeness,0.009438605713871338,7.166666666666667,3.8333333333333335,2.634920634920635
43,7,55,-5.568005217996867e-16,4,9,1.3333333333333333,closeness,0.008090233469032496,7.428571428571429,3.857142857142857,2.4489795918367347
21,8,54,-3.396118340543562e-16,3,9,1.8333333333333333,closeness,0.007078954285403391,7.625,3.75,2.3720238095238098
56,9,53,-3.695990317001593e-16,2,9,1.5,closeness,0.006292403809247418,7.777777777777778,3.5555555555555554,2.2751322751322753
11,10,52,-1.8741879452649757e-16,3,11,1.6666666666666667,closeness,0.005663163428322657,8.1,3.5,2.2142857142857144
32,11,51,-4.035102909824854e-16,2,11,1.3333333333333333,closeness,0.005148330389384197,8.363636363636363,3.3636363636363638,2.134199134199134
58,12,50,0.0,2,12,1.0,closeness,0.004719302856935515,8.666666666666666,3.25,2.03968253968254
33,13,49,-2.1335788423799945e-16,1,12,1.2,closeness,0.00435627956024815,8.923076923076923,3.076923076923077,1.9750915750915752
57,14,48,-6.819236691115574e-16,1,11,1.4,closeness,0.004045116734516091,9.071428571428571,2.9285714285714284,1.9340136054421768
34,15,47,-2.471827143504079e-16,1,10,1.4,closeness,0.003775442285548335,9.133333333333333,2.8,1.8984126984126986
35,16,46,-6.179904274166653e-16,1,10,1.2,closeness,0.0035394771427015256,9.1875,2.6875,1.8547619047619048
6,17,45,0.0,1,9,1.6,closeness,0.0033312726048955535,9.176470588235293,2.588235294117647,1.8397759103641456
7,18,44,-1.495784681251888e-16,1,8,1.2,closeness,0.00314620190462357,9.11111111111111,2.5,1.8042328042328042
30,19,43,-1.9796516073151197e-16,1,7,1.5,closeness,0.0029806123306960032,9.0,2.4210526315789473,1.788220551378446
36,20,42,-2.0933346190234585e-16,1,7,1.2,closeness,0.0028315817141611925,8.9,2.35,1.7588095238095238
59,21,41,-1.4261410692975945e-17,0,7,1.0,closeness,0.0026967444896773256,8.80952380952381,2.238095238095238,1.7226757369614514
2,22,40,0.0,0,6,1.75,closeness,0.0025741651946919928,8.681818181818182,2.1363636363636362,1.723917748917749
41,23,39,-1.457391391302162e-16,0,5,1.4,closeness,0.002462244968835813,8.521739130434783,2.0434782608695654,1.7098343685300208
44,24,38,-2.7610513331850078e-17,0,5,1.75,closeness,0.002359651428467653,8.375,1.9583333333333333,1.7115079365079364
9,25,37,-3.378672733133436e-16,1,6,1.4,closeness,0.002265265371328933,8.28,1.92,1.699047619047619
19,26,36,-2.4585713711683057e-16,1,7,1.0,closeness,0.002178139780123965,8.23076923076923,1.8846153846153846,1.672161172161172
31,27,35,-7.276936653351487e-17,1,7,1.5,closeness,0.002097467936415667,8.185185185185185,1.8518518518518519,1.665784832451499
40,28,34,0.0,1,6,1.0,closeness,0.0020225583672579647,8.107142857142858,1.8214285714285714,1.6420068027210883
45,29,33,0.0,0,6,1.4,closeness,0.001952814975283552,8.03448275862069,1.7586206896551724,1.6336617405582923
52,30,32,0.0,0,6,1.0,closeness,0.0018877211427741002,7.966666666666667,1.7,1.6125396825396825
8,31,31,-1.0771959291546836e-16,0,6,1.4,closeness,0.0018268269123620292,7.903225806451613,1.6451612903225807,1.60568356374808
37,32,30,0.0,0,6,1.6666666666666667,closeness,0.0017697385713507157,7.84375,1.59375,1.6075892857142857
55,33,29,0.0,0,5,1.6666666666666667,closeness,0.0017161101297946334,7.757575757575758,1.5454545454545454,1.6093795093795094
54,34,28,0.0,0,5,2.0,closeness,0.0016656363024477325,7.676470588235294,1.5,1.6208683473389356
42,35,27,-1.632452236865908e-16,0,4,2.3333333333333335,closeness,0.0016180466938063639,7.571428571428571,1.457142857142857,1.6412244897959183
46,36,26,0.0,0,4,2.3333333333333335,closeness,0.0015731009523117427,7.472222222222222,1.4166666666666667,1.6604497354497356
3,37,25,0.0,0,4,1.6666666666666667,closeness,0.0015305847103573712,7.378378378378378,1.3783783783783783,1.6606177606177606
10,38,24,0.0,0,4,2.0,closeness,0.0014903061653479667,7.2894736842105265,1.3421052631578947,1.6695488721804512
18,39,23,0.0,1,4,2.3333333333333335,closeness,0.001452093186749301,7.205128205128205,1.3333333333333333,1.6865689865689866
26,40,22,0.0,2,4,2.3333333333333335,closeness,0.0014157908570805685,7.125,1.35,1.7027380952380953
53,41,21,0.0,2,4,1.3333333333333333,closeness,0.0013812593727615301,7.048780487804878,1.3658536585365855,1.6937282229965158
22,42,20,0.0,2,3,1.6666666666666667,closeness,0.0013483722448386366,6.9523809523809526,1.380952380952381,1.6930839002267573
