removed,remaining,aG,e1_mult,e0_mult,CIS,strategy
1,61,0.05663163428322995,4,1,4.142857142857143,core strength
2,60,-9.423673323742968e-17,4,5,2.6666666666666665,core strength
3,59,-3.897710189079104e-16,3,10,2.3333333333333335,core strength
4,58,-8.160525659939457e-16,3,13,2.1666666666666665,core strength
5,57,-2.9264919544619e-16,3,14,1.8333333333333333,core strength
6,56,-4.1800163771965796e-16,2,15,2.1666666666666665,core strength
7,55,-4.1800163771965796e-16,3,16,1.8333333333333333,core strength
8,54,-4.605470810059805e-16,3,17,1.3333333333333333,core strength
9,53,-4.605470810059805e-16,3,18,1.5,core strength
10,52,-4.1800163771965796e-16,3,19,1.6666666666666667,core strength
11,51,-3.771455175623805e-16,4,20,2.1666666666666665,core strength
12,50,-3.771455175623805e-16,4,19,1.2,core strength
13,49,-3.771455175623805e-16,4,18,2.4,core strength
14,48,-3.771455175623805e-16,4,17,1.8333333333333333,core strength
15,47,-3.771455175623805e-16,4,16,1.4,core strength
16,46,-5.00116945029418e-17,4,17,2.0,core strength
17,45,-2.0079594877457358e-17,4,18,1.4,core strength
18,44,-2.0079594877457358e-17,4,17,1.3333333333333333,core strength
19,43,-2.0079594877457358e-17,4,17,1.4,core strength
20,42,-2.0079594877457358e-17,4,16,2.2,core strength
21,41,-2.680367226361276e-17,4,17,1.0,core strength
22,40,-5.696294837289027e-17,5,17,1.2,core strength
23,39,-5.696294837289027e-17,5,17,1.2,core strength
24,38,-1.8529133839348603e-16,4,17,1.0,core strength
25,37,-1.8529133839348603e-16,4,16,1.5,core strength
26,36,-2.0079594877457358e-17,4,17,1.2,core strength
27,35,-2.0079594877457358e-17,4,17,1.75,core strength
28,34,-2.0079594877457358e-17,4,17,1.5,core strength
29,33,-2.0079594877457358e-17,4,16,2.25,core strength
30,32,0.0,4,15,2.25,core strength
31,31,0.0,4,14,1.5,core strength
32,30,0.0,4,13,1.3333333333333333,core strength
33,29,0.0,4,12,2.3333333333333335,core strength
34,28,0.0,4,12,2.3333333333333335,core strength
35,27,0.0,4,11,1.5,core strength
36,26,0.0,4,10,2.0,core strength
37,25,0.0,4,10,2.0,core strength
38,24,0.0,4,9,1.3333333333333333,core strength
39,23,0.0,3,9,2.3333333333333335,core strength
40,22,-1.6609858106771117e-16,3,9,1.3333333333333333,core strength
41,21,-3.018283873179255e-19,3,9,1.3333333333333333,core strength
42,20,-2.300007890177622e-16,4,9,1.3333333333333333,core strength
43,19,-3.018283873179255e-19,3,10,1.0,core strength
44,18,-1.6609858106771117e-16,3,9,1.0,core strength
45,17,-3.018283873179255e-19,3,8,2.5,core strength
46,16,-1.6529324784723123e-16,2,8,1.0,core strength
47,15,0.0,1,9,1.3333333333333333,core strength
48,14,0.0,2,9,1.0,core strength
49,13,0.0,1,9,1.5,core strength
50,12,0.0,1,9,1.5,core strength
51,11,0.0,1,9,1.5,core strength
52,10,0.0,1,8,2.0,core strength
53,9,0.0,1,7,2.0,core strength
54,8,0.0,1,6,2.0,core strength
55,7,0.0,1,5,2.0,core strength
56,6,0.0,0,5,1.0,core strength
57,5,0.0,0,5,1.0,core strength
58,4,0.0,0,4,1.0,core strength
59,3,0.0,0,3,1.0,core strength
60,2,0.0,0,2,1.0,core strength
