node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
1,1,11,0.77546617721373,4,1,2.5,core influence,0.77546617721373,1.0,4.0,2.5
5,2,10,0.0,0,6,2.0,core influence,0.387733088606865,3.5,2.0,2.25
6,3,9,0.0,1,7,2.0,core influence,0.25848872573791,4.666666666666667,1.6666666666666667,2.1666666666666665
8,4,8,0.0,0,7,1.0,core influence,0.1938665443034325,5.25,1.25,1.875
4,5,7,0.0,0,7,1.0,core influence,0.155093235442746,5.6,1.0,1.7
7,6,6,0.0,0,6,1.0,core influence,0.129244362868955,5.666666666666667,0.8333333333333334,1.5833333333333333
2,7,5,0.0,0,5,1.0,core influence,0.1107808824591043,5.571428571428571,0.7142857142857143,1.5
3,8,4,0.0,0,4,1.0,core influence,0.09693327215171625,5.375,0.625,1.4375
9,9,3,0.0,0,3,1.0,core influence,0.08616290857930334,5.111111111111111,0.5555555555555556,1.3888888888888888
10,10,2,0.0,0,2,1.0,core influence,0.077546617721373,4.8,0.5,1.35
