node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
PZB1,1,11,0.77546617721373,4,1,2.5,degree,0.77546617721373,1.0,4.0,2.5
PZB-GREY1-TSN385-CGSP,2,10,0.0,0,6,2.0,degree,0.387733088606865,3.5,2.0,2.25
PZB-GREY1-TSN193-UNISAP,3,9,0.0,1,7,2.0,degree,0.25848872573791,4.666666666666667,1.6666666666666667,2.1666666666666665
PZB-GREY1-TSN10-DUTRC,4,8,0.0,0,7,1.0,degree,0.1938665443034325,5.25,1.25,1.875
PZB-GREY1-TSN384-SANBIP,5,7,0.0,0,6,1.0,degree,0.155093235442746,5.4,1.0,1.7
PZB-GREY1-TSN383-DUTI,6,6,0.0,0,6,1.0,degree,0.129244362868955,5.5,0.8333333333333334,1.5833333333333333
DUR,7,5,0.0,0,5,1.0,degree,0.1107808824591043,5.428571428571429,0.7142857142857143,1.5
DUR3,8,4,0.0,0,4,1.0,degree,0.09693327215171625,5.25,0.625,1.4375
PZB-TSN267-SAEON-GWFN,9,3,0.0,0,3,1.0,degree,0.08616290857930334,5.0,0.5555555555555556,1.3888888888888888
PZB-TSN534-HSRC-SW,10,2,0.0,0,2,1.0,degree,0.077546617721373,4.7,0.5,1.35
