node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy,cumAUC_aG,cumAUC_e0_mult,cumAUC_e1_mult,cumAUC_CIS
PZB1,1,11,0.77546617721373,4,1,2.5,random,0.77546617721373,1.0,4.0,2.5
PZB-GREY1-TSN10-DUTRC,2,10,0.0,0,6,2.0,random,0.387733088606865,3.5,2.0,2.25
PZB-GREY1-TSN384-SANBIP,3,9,0.0,0,6,2.0,random,0.25848872573791,4.333333333333333,1.3333333333333333,2.1666666666666665
PZB-TSN670-ARC-CACWL,4,8,0.0,0,7,1.0,random,0.1938665443034325,5.0,1.0,1.875
DUR,5,7,0.0,0,6,1.0,random,0.155093235442746,5.2,0.8,1.7
PZB-TSN534-HSRC-SW,6,6,0.0,0,5,1.0,random,0.129244362868955,5.166666666666667,0.6666666666666666,1.5833333333333333
DUR3,7,5,0.0,0,4,1.0,random,0.1107808824591043,5.0,0.5714285714285714,1.5
PZB-GREY1-TSN385-CGSP,8,4,0.0,0,3,1.0,random,0.09693327215171625,4.75,0.5,1.4375
PZB-GREY1-TSN193-UNISAP,9,3,0.0,0,3,1.0,random,0.08616290857930334,4.555555555555555,0.4444444444444444,1.3888888888888888
PZB-TSN267-SAEON-GWFN,10,2,0.0,0,2,1.0,random,0.077546617721373,4.3,0.4,1.35
