node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy
MTZ,1,219,0.021311629163143532,24,1,6.318181818181818,betweeness
CPT1,2,218,0.014889721538681738,24,1,5.954545454545454,betweeness
PTA1,3,217,1.8761217320294509e-16,26,4,5.363636363636363,betweeness
CPT3,4,216,-6.194062121702313e-16,26,7,4.818181818181818,betweeness
PTA2,5,215,-6.597983756968122e-16,23,15,2.8181818181818183,betweeness
ISANDO,6,214,-8.468981056143775e-16,24,19,1.9545454545454546,betweeness
DUR3,7,213,-1.4128485433132735e-15,24,19,2.0454545454545454,betweeness
JNB2,8,212,-1.5802542718511083e-15,26,21,1.9545454545454546,betweeness
BFN1,9,211,-1.3442907679095484e-15,26,23,1.8181818181818181,betweeness
ISD1,10,210,-1.192465675616385e-15,25,29,1.9047619047619047,betweeness
PTA-GREYN1-TSN298-ARCOVI,11,209,-1.4961256165796258e-15,20,35,2.0,betweeness
DUR1,12,208,-1.5463128622426755e-15,21,35,2.227272727272727,betweeness
PZB1,13,207,-7.633950461531062e-16,22,37,2.238095238095238,betweeness
PTA-GREYN1-TSN75-UPO,14,206,-9.956193295642288e-16,20,41,1.9523809523809523,betweeness
CPT2,15,205,-1.3496518987559064e-15,19,41,1.7619047619047619,betweeness
PTA-GREYN1-TSN162-TUT-SOSS,16,204,-1.1672298370179368e-15,20,44,2.238095238095238,betweeness
CPT6,17,203,-1.5098095882759591e-15,20,45,2.2857142857142856,betweeness
BFN3,18,202,-1.5139113851432725e-15,20,45,2.1904761904761907,betweeness
PTA-GREYS2-TSN409-TUT-SKINNER-PE,19,201,-1.6012211283272084e-15,19,47,2.142857142857143,betweeness
PTA-GREYS2-TSN257-SANBI,20,200,-1.229945763108942e-15,19,48,1.7,betweeness
POTCH,21,199,-1.2349575266975854e-15,18,48,1.7,betweeness
PTA-GREYN1-TSN538-TUT-ADT,22,198,-1.1762282415949063e-15,17,48,1.7619047619047619,betweeness
PTA-GREYS2-TSN499-DFASAMCOR,23,197,-1.3583717166155267e-15,16,48,1.8,betweeness
VDP1,24,196,-1.570938244964676e-15,17,49,2.05,betweeness
PTA-GREYN1-TSN161-TUT-SOSN,25,195,-1.683088968306132e-15,16,52,2.380952380952381,betweeness
PTA-GREYN1-TSN204-UNISA-SRB,26,194,-9.115992244244078e-16,16,52,1.75,betweeness
JNB3,27,193,-1.3563247398332885e-15,16,52,1.75,betweeness
PTA-GREYS2-TSN355-TUT-LEGAE,28,192,-1.0935441246906808e-15,16,54,2.05,betweeness
CPT9,29,191,-1.092410196251331e-15,16,54,1.7,betweeness
DUR,30,190,-1.5694253601521606e-15,16,55,1.3636363636363635,betweeness
PTA-GREYN1-TSN49-TUT-ERC-GAR,31,189,-9.345166366008647e-16,16,55,1.5263157894736843,betweeness
CPT-GREYCBD1-TSN24-NLSA,32,188,-9.932835877615247e-16,17,55,1.894736842105263,betweeness
PTA-GREYN1-TSN203-UNISA-SN,33,187,-1.0501179710679762e-15,17,55,1.4210526315789473,betweeness
CPT-GREYSS1-TSN463-DFA-PLN,34,186,-1.1139180358311643e-15,18,55,1.5263157894736843,betweeness
BFN2,35,185,-1.126251946928157e-15,17,55,1.8421052631578947,betweeness
PTA-GREYS2-TSN16-HSRC-MC,36,184,-7.85291832323691e-16,17,57,1.894736842105263,betweeness
PTA-GREYS2-TSN260-CGS,37,183,-9.446777715912332e-16,16,57,1.631578947368421,betweeness
DUR2,38,182,-1.044789083473503e-15,16,57,1.631578947368421,betweeness
PTA-GREYN1-TSN389-SMU-MC-PE,39,181,-1.431250850692296e-15,17,60,1.6842105263157894,betweeness
ELS1,40,180,-1.0443652847840948e-15,17,60,1.6842105263157894,betweeness
CPT-GREYSS1-TSN272-UCTDOR,41,179,-1.2676017368971951e-15,15,64,1.4444444444444444,betweeness
PTA-GREYN1-TSN391-TUT-KOSMOS,42,178,-9.942104450755292e-16,16,64,1.8333333333333333,betweeness
BLOEM2,43,177,-1.4052084954991005e-15,15,64,1.6666666666666667,betweeness
PTA-GREYN1-TSN74-UP-MED-PE,44,176,-9.270021241130264e-16,14,64,1.7222222222222223,betweeness
WITS,45,175,-9.383814318376688e-16,14,67,1.8333333333333333,betweeness
CPT-GREYSS1-TSN39-SAAO,46,174,-7.925041593066919e-16,14,66,1.6111111111111112,betweeness
PTA-GREYS2-TSN410-TUT-BAE,47,173,-9.383814318376688e-16,15,67,1.6666666666666667,betweeness
PTA-GREYS2-TSN299-ARCIAE,48,172,-7.021984719019011e-16,16,67,1.8888888888888888,betweeness
ELS,49,171,-6.890207822556966e-16,15,67,1.5555555555555556,betweeness
PTA-GREYN1-TSN353-TUT-TEMPO,50,170,-1.4103057915087184e-15,15,66,1.4444444444444444,betweeness
CPT-GREYSS1-TSN768-UCTCAN,51,169,-1.0328681224825387e-15,14,66,1.7647058823529411,betweeness
CPT-GREYCBD1-TSN18-IZMU,52,168,-9.748321469973656e-16,13,66,1.8235294117647058,betweeness
CPT-GREYBEL1-TSN22-MRCCPT-PE,53,167,-1.0328681224825387e-15,13,67,1.5294117647058822,betweeness
ELS3,54,166,-9.748321469973656e-16,14,68,2.0,betweeness
PTA-GREYS2-TSN29-ZOO,55,165,-1.0328681224825387e-15,13,69,1.8235294117647058,betweeness
PTA-GREYS2-TSN973-UNIVEN-COL,56,164,-1.146585150430835e-15,13,69,1.8823529411764706,betweeness
CAPE,57,163,-1.2962734519152727e-15,14,69,1.7058823529411764,betweeness
CPT-GREYCBD1-TSN641-SAEON,58,162,-5.784925150042794e-16,14,68,1.9411764705882353,betweeness
JNB1,59,161,-1.3946942658244482e-15,14,68,1.7058823529411764,betweeness
JNB-GREY1-TSN690-NHLS-BRAAM,60,160,-8.98444450417723e-16,14,70,1.75,betweeness
PTA-GREYN1-TSN315-BREYTEN,61,159,-1.2962734519152727e-15,14,70,1.5625,betweeness
CPT-GREYBEL1-TSN207-USBS-PE,62,158,-1.1658731248227055e-15,14,70,1.8125,betweeness
BLOEM,63,157,-7.557290391704157e-16,14,71,2.0,betweeness
CPT-GREYSS1-TSN145-CPUTM,64,156,-1.1670273936299518e-15,14,70,1.6875,betweeness
CPT-GREYCBD1-TSN163-UCT-HID,65,155,-1.0923754609917428e-15,13,71,1.375,betweeness
PTA-GREYS2-TSN159-TUT-ARTS,66,154,-9.252679288924094e-16,13,71,1.6470588235294117,betweeness
DBN-GREY1-TSN176-UNISAM,67,153,-1.058425871997783e-15,12,71,1.5,betweeness
PTA-GREYS2-TSN40-USAF,68,152,-1.2573804576580785e-15,11,71,1.6470588235294117,betweeness
CPT5,69,151,-8.215487841392853e-16,11,71,1.9375,betweeness
DBN-GREY1-TSN97-CSIR,70,150,-7.919664345624966e-16,9,73,1.6,betweeness
CPT-GREYCBD1-TSN275-MCM,71,149,-7.117768428955414e-16,9,73,1.625,betweeness
UTT,72,148,-8.218097154732298e-16,9,73,1.6,betweeness
CPT-GREYSS1-TSN804-SKAO-BRP,73,147,-7.938696310950308e-16,8,73,1.8,betweeness
ELS2,74,146,-9.370901853974859e-16,9,73,1.5333333333333334,betweeness
PTA-GREYS2-TSN263-MRC-MC-PE,75,145,-7.962312818924975e-16,9,74,1.4666666666666666,betweeness
PTA-TSN455-SITA-CENT-PE,76,144,-8.811824973299962e-16,10,74,1.4666666666666666,betweeness
