node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy
CPT1,1,219,0.021311629163143532,24,1,6.318181818181818,core influence
CPT3,2,218,-9.028388442420228e-18,26,4,5.363636363636363,core influence
DUR3,3,217,-1.1723768139523615e-15,23,12,4.739130434782608,core influence
PTA1,4,216,-1.5410490673904162e-15,25,13,1.9090909090909092,core influence
JNB2,5,215,-1.1360805363194241e-15,25,16,2.6818181818181817,core influence
PTA2,6,214,-1.325977153436258e-15,25,18,2.1363636363636362,core influence
CPT2,7,213,-1.7830636701551066e-15,27,22,2.3181818181818183,core influence
DUR2,8,212,-1.838661744002116e-15,28,25,2.409090909090909,core influence
JNB1,9,211,-1.358175820269054e-15,28,28,2.3181818181818183,core influence
DUR1,10,210,-1.378619925407634e-15,29,31,2.5238095238095237,core influence
MTZ,11,209,-1.3248582571715046e-15,32,34,2.0,core influence
JNB3,12,208,-1.1326113617894957e-15,31,34,2.238095238095238,core influence
ISD1,13,207,-1.6994614775151952e-15,31,35,2.0952380952380953,core influence
PZB1,14,206,-1.6251283583300638e-15,27,41,2.0952380952380953,core influence
BFN1,15,205,-1.1133958822007522e-15,25,45,1.9523809523809523,core influence
PTA-GREYN1-TSN74-UP-MED-PE,16,204,-1.4135758881846196e-15,22,51,2.0952380952380953,core influence
CPT-GREYBEL1-TSN22-MRCCPT-PE,17,203,-1.2114643373142861e-15,22,54,1.9047619047619047,core influence
ELS3,18,202,-1.2575437797294328e-15,22,54,2.0952380952380953,core influence
ELS1,19,201,-1.3299419327469025e-15,21,56,2.1904761904761907,core influence
ELS2,20,200,-1.3277434014485552e-15,18,61,2.0,core influence
PTA-TSN455-SITA-CENT-PE,21,199,-1.3091197366273916e-15,17,63,1.55,core influence
JNB-GREY2-TSN42-UJBU,22,198,-1.0758013729253463e-15,18,65,1.6666666666666667,core influence
ISANDO,23,197,-8.668385506744753e-16,18,66,2.1,core influence
BFN3,24,196,-1.0611815107951303e-15,17,66,1.55,core influence
CPT6,25,195,-1.3322674893143096e-15,16,68,1.9,core influence
BFN2,26,194,-1.499869923105835e-15,16,69,1.8095238095238095,core influence
CPT9,27,193,-1.702146392203953e-15,16,71,1.75,core influence
CPT-GREYSS2-TSN236-SARAO-PE,28,192,-1.5501884238505545e-15,17,72,1.6,core influence
CPT-GREYBEL1-TSN207-USBS-PE,29,191,-1.3322676295500932e-15,17,73,1.85,core influence
DUR,30,190,-1.0269864941056425e-15,17,74,1.736842105263158,core influence
PTA-GREYS2-TSN261-ARC-HO-PE,31,189,-1.059586372891095e-15,17,73,1.4736842105263157,core influence
PTA-GREYS2-TSN263-MRC-MC-PE,32,188,-8.439775231986658e-16,18,74,2.1578947368421053,core influence
PTA-GREYN1-TSN389-SMU-MC-PE,33,187,-1.0332219764820001e-15,18,75,1.4736842105263157,core influence
PTA-GREYS2-TSN409-TUT-SKINNER-PE,34,186,-8.089510678338419e-16,17,76,1.5263157894736843,core influence
PTA-GREYN2-TSN254-UP-HILL-PE,35,185,-9.193306086432539e-16,17,77,1.8421052631578947,core influence
DBN-GREY1-TSN222-TIA-PWC,36,184,-7.75981115370954e-16,17,78,1.736842105263158,core influence
JNB-GREY2-TSN42-UJBU-2,37,183,-8.886928919059798e-16,17,79,1.4736842105263157,core influence
DBN-GREY1-TSN366-UKZNE-PE,38,182,-9.281396990136268e-16,17,80,1.736842105263158,core influence
JNB-TSN76-UNISA-FLORIDA-PE,39,181,-1.2512454332142043e-15,16,81,1.3,core influence
JNB-TSN44-UJ-DF-PE,40,180,-8.90240965083682e-16,16,81,1.9473684210526316,core influence
JNB5-TSN249,41,179,-8.5841913812647025e-16,17,82,1.5,core influence
BLOEM2,42,178,-9.567787401709493e-16,18,82,1.5263157894736843,core influence
CPT5,43,177,-9.084703629964557e-16,18,81,1.5555555555555556,core influence
CPT-GREYSS2-TSN165-UCTLGR,44,176,-9.195459692984937e-16,16,83,1.3333333333333333,core influence
CPT-GREYBEL1-TSN147-CPUTT,45,175,-1.0003404248406713e-15,16,83,1.6666666666666667,core influence
