node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy
CPT3,1,219,0.021311629163143532,24,1,6.318181818181818,degree
CPT1,2,218,-5.203690169562084e-16,23,6,5.681818181818182,degree
PTA1,3,217,-1.1723768139523615e-15,23,12,1.9090909090909092,degree
DUR3,4,216,-1.0275091610346112e-15,23,15,2.0,degree
JNB2,5,215,-1.1360805363194241e-15,25,16,1.9545454545454546,degree
PTA2,6,214,-1.325977153436258e-15,25,18,2.8181818181818183,degree
ISD1,7,213,-1.7830636701551066e-15,27,22,2.5,degree
BFN1,8,212,-1.1897000727897513e-15,25,29,2.0,degree
PZB1,9,211,-1.2543660353592325e-15,22,35,2.1818181818181817,degree
CPT2,10,210,-1.2457145219892051e-15,20,39,2.5454545454545454,degree
ELS1,11,209,-1.2625979857114656e-15,21,42,2.1904761904761907,degree
DUR2,12,208,-1.2795430990908277e-15,20,46,2.0476190476190474,degree
DUR1,13,207,-1.6050074348916851e-15,20,49,1.6956521739130435,degree
JNB1,14,206,-1.3643578251390852e-15,21,52,2.0476190476190474,degree
MTZ,15,205,-1.5609794862628116e-15,21,55,1.8571428571428572,degree
PTA-GREYN1-TSN74-UP-MED-PE,16,204,-1.3193307831560975e-15,21,54,2.0952380952380953,degree
ELS3,17,203,-1.4238741344834488e-15,21,57,1.8571428571428572,degree
JNB3,18,202,-1.0890642427070717e-15,18,60,1.9047619047619047,degree
VDP1,19,201,-1.2680029866074727e-15,18,61,1.4761904761904763,degree
BFN2,20,200,-1.039960952661595e-15,16,65,1.85,degree
BFN3,21,199,-5.199377184748297e-16,16,68,2.2,degree
CPT-GREYBEL1-TSN22-MRCCPT-PE,22,198,-9.490132875533893e-16,14,70,1.85,degree
CPT5,23,197,-6.838996514903436e-16,14,70,1.9,degree
ELS2,24,196,-1.0351735432746679e-15,13,74,1.8,degree
ISANDO,25,195,-6.838996514903436e-16,12,76,1.65,degree
PTA-TSN455-SITA-CENT-PE,26,194,-9.835624330783186e-16,12,75,1.65,degree
CPT6,27,193,-7.466057289741023e-16,13,77,1.5714285714285714,degree
CPT-GREYBEL1-TSN207-USBS-PE,28,192,-8.152622153117939e-16,12,77,1.6,degree
CPT9,29,191,-1.059586372891095e-15,12,78,1.55,degree
CPT-GREYSS2-TSN236-SARAO-PE,30,190,-8.152622153117939e-16,13,78,1.65,degree
DUR,31,189,-7.466057289741023e-16,13,79,1.6842105263157894,degree
JNB-GREY2-TSN42-UJBU,32,188,-8.152622153117939e-16,13,78,1.5263157894736843,degree
PTA-GREYN1-TSN162-TUT-SOSS,33,187,-7.466057289741023e-16,13,79,1.8421052631578947,degree
PTA-GREYN1-TSN389-SMU-MC-PE,34,186,-8.194819848961545e-16,12,81,1.5789473684210527,degree
PTA-GREYS2-TSN261-ARC-HO-PE,35,185,-1.0879732673441816e-15,12,82,1.5263157894736843,degree
PTA-GREYS2-TSN263-MRC-MC-PE,36,184,-8.086568889414774e-16,13,83,1.4210526315789473,degree
PTA-GREYN2-TSN254-UP-HILL-PE,37,183,-5.273564754254289e-16,13,84,1.4210526315789473,degree
PTA-GREYS2-TSN499-DFASAMCOR,38,182,-1.0034372143209045e-15,13,85,1.4210526315789473,degree
PTA-GREYS2-TSN409-TUT-SKINNER-PE,39,181,-8.218097154732298e-16,11,87,1.6,degree
BLOEM2,40,180,-5.742115445579863e-16,11,88,1.7222222222222223,degree
CPT-GREYBEL1-TSN147-CPUTT,41,179,-4.77040837813276e-16,11,87,1.4736842105263157,degree
CPT-GREYCBD1-TSN163-UCT-HID,42,178,-4.808329208719258e-16,11,88,1.5789473684210527,degree
CPT-GREYCBD1-TSN18-IZMU,43,177,-4.77040837813276e-16,12,89,1.631578947368421,degree
CPT-GREYCBD1-TSN4-CPUTCPT,44,176,-4.77040837813276e-16,12,89,1.3888888888888888,degree
CPT-GREYCBD1-TSN24-NLSA,45,175,-4.77040837813276e-16,12,90,1.3333333333333333,degree
CPT-GREYSS1-TSN145-CPUTM,46,174,-4.808329208719258e-16,12,90,1.3888888888888888,degree
CPT-GREYSS1-TSN39-SAAO,47,173,-4.4203324128594195e-16,13,92,1.6666666666666667,degree
CPT-GREYSS2-TSN165-UCTLGR,48,172,-4.808329208719258e-16,11,94,1.4444444444444444,degree
CPT7,49,171,-4.4203324128594195e-16,11,94,1.5555555555555556,degree
DBN-GREY1-TSN222-TIA-PWC,50,170,-4.808329208719258e-16,11,94,1.5294117647058822,degree
DBN-GREY1-TSN366-UKZNE-PE,51,169,-4.4203324128594195e-16,11,95,1.3529411764705883,degree
JNB-TSN44-UJ-DF-PE,52,168,-4.4203324128594195e-16,10,96,1.5294117647058822,degree
JNB-TSN76-UNISA-FLORIDA-PE,53,167,-4.4203324128594195e-16,11,98,1.6666666666666667,degree
JNB-GREY2-TSN42-UJBU-2,54,166,-4.4203324128594195e-16,11,98,1.2941176470588236,degree
JNB5-TSN249,55,165,-4.4203324128594195e-16,11,98,1.6470588235294117,degree
PZB-GREY1-TSN385-CGSP,56,164,-4.4203324128594195e-16,12,98,1.2941176470588236,degree
PZB-GREY1-TSN193-UNISAP,57,163,-4.4203324128594195e-16,13,99,1.411764705882353,degree
PTA-TSN377-ARC-IRENE-PE,58,162,-4.4203324128594195e-16,12,99,1.7058823529411764,degree
JNB-TSN199-UNISA-SBL-PE,59,161,-4.4203324128594195e-16,12,99,1.411764705882353,degree
PTA-GREYN1-TSN161-TUT-SOSN,60,160,-4.4203324128594195e-16,12,98,1.2941176470588236,degree
