node_id,removed,remaining,aG,e1_mult,e0_mult,CIS,strategy
JNB-GREY-TSN284-WITS-HJH,1,219,0.021311629163143532,24,1,6.318181818181818,random
PTA-GREYN1-TSN184-UNISA-LTC,2,218,0.021331485761509637,24,1,6.2272727272727275,random
CPT-GREYSS2-TSN788-UCTSHAW,3,217,0.021181346242037255,25,1,6.136363636363637,random
UTE-TSN12-WSU-B-PE,4,216,0.021211988776744205,24,1,6.090909090909091,random
DUR3,5,215,0.02124116844165198,23,1,6.090909090909091,random
CPT-GREYSS1-TSN500-CPUTSPR,6,214,5.281980122751595e-15,25,2,5.363636363636363,random
PTA-TSN455-SITA-CENT-PE,7,213,2.8747987188683655e-15,25,2,5.363636363636363,random
DUR1,8,212,1.713496532957347e-15,25,2,5.181818181818182,random
CPT-GREYBEL1-TSN207-USBS-PE,9,211,-6.760904906912587e-16,26,5,3.6363636363636362,random
ELS-GREY1-TSN393-WSU-CAM,10,210,-7.879435728861729e-16,26,5,3.739130434782609,random
PZB-GREY1-TSN10-DUTRC,11,209,-4.943656569412682e-16,26,5,2.9047619047619047,random
CPT-GREYSS2-TSN236-SARAO-PE,12,208,-1.115112296407385e-15,26,5,4.0,random
CPT7,13,207,-6.146735018004504e-16,27,5,3.7142857142857144,random
PZB-TSN267-SAEON-GWFN,14,206,2.894066883962476e-17,26,5,4.619047619047619,random
PTA-GREYS2-TSN410-TUT-BAE,15,205,-7.538052649704715e-16,25,5,3.3333333333333335,random
CPT-GREYBEL1-TSN174-UNIBEL,16,204,-4.934784325542155e-16,25,5,3.5238095238095237,random
CPT-GREYSS2-TSN165-UCTLGR,17,203,-5.185503628074805e-16,25,6,4.333333333333333,random
DBN-GREY1-TSN232-NMMS,18,202,-4.810519437898275e-16,25,6,2.7142857142857144,random
PZB-GREY1-TSN193-UNISAP,19,201,-5.676123323225303e-16,26,7,4.619047619047619,random
JNB-GREY1-TSN690-NHLS-BRAAM,20,200,-5.105208650503814e-16,27,7,3.217391304347826,random
JNB2,21,199,-4.440892098500626e-16,27,7,3.5,random
PTA-GREYS2-TSN38-SAASTA,22,198,-3.088354402914523e-16,25,8,3.45,random
PTA-GREYN1-TSN538-TUT-ADT,23,197,-5.867687940980184e-16,26,8,3.2,random
ELS-GREY1-TSN177-UNISAE,24,196,-8.039673604134989e-16,26,9,2.55,random
CPT5,25,195,-4.852171425523946e-16,26,9,3.4,random
PTA-GREYS2-TSN409-TUT-SKINNER-PE,26,194,-7.08917996328468e-16,27,11,3.15,random
PTA-GREYN1-TSN353-TUT-TEMPO,27,193,-8.7140145408757e-16,27,13,1.35,random
PTA-GREYS2-TSN300-DAFF,28,192,-1.0425762870563998e-15,27,14,2.9,random
CPT-GREYSS1-TSN39-SAAO,29,191,-7.22375832275187e-16,27,14,2.85,random
CPT-GREYBEL1-TSN34-CPUTB,30,190,-1.1347031340495184e-15,29,15,3.3157894736842106,random
CPT-GREYCBD2-TSN215-HSRCCPT,31,189,-9.740288173597216e-16,29,16,2.6842105263157894,random
JNB-GREY2-TSN171-UJSO,32,188,-1.1692351514583673e-15,29,16,1.35,random
DBN-GREY1-TSN375-SANBI,33,187,-8.457620860927522e-16,29,16,3.3157894736842106,random
NLP-TSN344-UMP-DC2-PE,34,186,-1.015103746492459e-15,28,16,1.3157894736842106,random
CPT-GREYCBD1-TSN18-IZMU,35,185,-1.1647416779454579e-15,27,16,2.210526315789474,random
JNB-TSN199-UNISA-SBL-PE,36,184,-1.286721456161512e-15,27,16,1.3157894736842106,random
PTA-GREYS1-TSN30-NRF,37,183,-7.837100931247662e-16,27,17,2.5789473684210527,random
JNB-GREY1-TSN110-WITSE,38,182,-1.579752832709851e-15,27,17,1.3157894736842106,random
CPT-GREYCBD1-TSN24-NLSA,39,181,-5.024981299785641e-16,27,17,2.8421052631578947,random
BFN-GREY1-TSN173-UNISAB,40,180,-1.635851231505314e-15,27,18,1.9473684210526316,random
DBN-GREY1-TSN231-UKZNW-PE,41,179,-1.2425922655258144e-15,26,18,1.2777777777777777,random
JNB-TSN949-GIBS-NORTH,42,178,-1.7005002175485943e-15,27,18,2.2777777777777777,random
JNB-GREY-TSN285-WITS-RMH,43,177,-1.1257082390196455e-15,28,18,2.1578947368421053,random
PTA-GREYN2-TSN282-INNHUB,44,176,-1.6112804918877364e-15,28,18,2.0,random
CPT-GREYSLB1-TSN292-ARCINFR,45,175,-2.3520682585383057e-15,28,18,2.0555555555555554,random
PTA-GREYS2-TSN509-UP-MAMC,46,174,-1.7795310670304315e-15,28,17,2.2222222222222223,random
ISANDO,47,173,-1.3504432410976898e-15,28,17,1.2222222222222223,random
CPT-GREYBEL1-TSN208-USTYG,48,172,-9.036282863707756e-16,28,17,1.5,random
CPT-GREYSS1-TSN273-CPUTGSR,49,171,-6.792676553071078e-16,28,17,2.611111111111111,random
UNISA,50,170,-1.2000382934779307e-15,28,18,1.2941176470588236,random
PZB-TSN670-ARC-CACWL,51,169,-7.843998676222274e-16,27,18,1.1764705882352942,random
PTA-GREYS2-TSN158-TUT-ARCADIA,52,168,-1.2995125664913713e-15,26,18,1.2941176470588236,random
PTA-GREYN1-TSN399-TUT-ZAR,53,167,-1.7783303578969053e-15,25,18,2.1176470588235294,random
BIY-TSN65-UFH-BHISHO-PE,54,166,-1.35722436367767e-15,25,18,1.8888888888888888,random
WACS2,55,165,-1.3891432053271333e-15,24,18,1.3333333333333333,random
SDT-TSN535-UCT-GSB,56,164,-1.2308607359886256e-15,23,18,1.588235294117647,random
CPT-GREYSS2-TSN168-UCTRCCH,57,163,-1.969145436060356e-15,24,18,1.8823529411764706,random
JOBURG,58,162,-1.2813257887410894e-15,25,19,2.0,random
DBN-GREY1-TSN222-TIA-PWC,59,161,-1.548921340355947e-15,24,19,1.1764705882352942,random
CPT3,60,160,-1.1047462209440554e-15,25,20,1.25,random
PTA-GREYN1-TSN204-UNISA-SRB,61,159,-1.1990671476775808e-15,20,28,1.125,random
ELSIS,62,158,-1.2910409714263305e-15,19,28,1.1875,random
PTA-GREYS3-TSN259-SAWS,63,157,-1.1826278109869763e-15,18,28,1.1764705882352942,random
CPT-GREYBEL1-TSN487-MRCN,64,156,-1.0545440687916742e-15,18,28,1.0625,random
DBN-GREY1-TSN497-CAPRISA-DDMRI,65,155,-1.1243151360019766e-15,18,28,1.1875,random
BFN2,66,154,-1.3899867064060124e-15,19,28,1.0588235294117647,random
PTA-GREYS2-TSN355-TUT-LEGAE,67,153,-1.4348735257598229e-15,20,29,1.375,random
CPT-GREYBEL1-TSN585-UWC-FCHS,68,152,-1.2780511004342466e-15,20,29,1.125,random
CPT-GREYSS2-TSN270-UCTGSR,69,151,-1.69585852259947e-15,20,29,1.125,random
CPT-GREYSS1-TSN463-DFA-PLN,70,150,-1.064500946735751e-15,20,29,1.4375,random
PTA-GREYN1-TSN49-TUT-ERC-GAR,71,149,-1.1405866036406823e-15,20,28,1.1333333333333333,random
PZB,72,148,-1.1993875777850204e-15,22,28,2.6666666666666665,random
CPT-GREYSS1-TSN804-SKAO-BRP,73,147,-1.3533690556495912e-15,21,28,2.1333333333333333,random
CPT-GREYBEL1-TSN493-CGSB,74,146,-1.3347025755406232e-15,21,28,2.4,random
PTA-GREYN1-TSN200-UNISA-SSE,75,145,-1.1608939048049998e-15,21,27,2.0,random
CPT-GREYSS1-TSN272-UCTDOR,76,144,-1.0082369295010486e-15,21,27,2.066666666666667,random
BLOEM2,77,143,-1.5206703891385998e-15,21,28,2.466666666666667,random
PTA-GREYS2-TSN159-TUT-ARTS,78,142,-9.945699851245115e-16,20,28,1.6,random
JNB-GREY2-TSN659-WITS-CLMDC,79,141,-1.229139987850657e-15,21,29,1.6,random
DBN-GREY1-TSN176-UNISAM,80,140,-1.1736998210424727e-15,21,29,1.7857142857142858,random
CPT-GREYBEL1-TSN22-MRCCPT-PE,81,139,-1.0259183396606131e-15,20,29,1.3571428571428572,random
BAAI,82,138,-1.0606439937761776e-15,20,29,2.2857142857142856,random
PTA-GREYN1-TSN27-NLSA-PTA,83,137,-1.2360474853466765e-15,20,28,2.2857142857142856,random
VDP-GREY2-TSN139-NWUFAR,84,136,-1.4078673332010242e-15,20,29,1.3571428571428572,random
CPT-GREYBEL1-TSN147-CPUTT,85,135,-1.1547196865505911e-15,22,29,2.6666666666666665,random
KIM-TSN760-SPUC,86,134,-1.1919327877699495e-15,23,30,2.5,random
PTA-GREYN1-TSN201-UNISA-SSW,87,133,-1.4456486855542298e-15,22,30,2.0,random
PTA-TSN377-ARC-IRENE-PE,88,132,-1.2738170420042993e-15,22,29,2.142857142857143,random
PTA-GREYS2-TSN40-USAF,89,131,-1.0251672638942185e-15,22,28,2.357142857142857,random
CPT1,90,130,-1.3892997988385821e-15,22,29,1.1538461538461537,random
CPT-GREYCBD2-TSN109-SANAP,91,129,-9.463722086691146e-16,21,37,2.3846153846153846,random
PTA-GREYN2-TSN254-UP-HILL-PE,92,128,-9.688224061647947e-16,20,38,1.5,random
DBN-GREY1-TSN13-CAO,93,127,-1.0606171236233283e-15,20,38,1.5384615384615385,random
PTA-GREYN2-TSN395-TUT-ZET,94,126,-1.0314457644544074e-15,20,38,3.076923076923077,random
JNB-TSN44-UJ-DF-PE,95,125,-1.074573542858749e-15,20,38,2.0,random
PTA-GREYS2-TSN973-UNIVEN-COL,96,124,-1.6785539447266298e-15,21,39,1.9285714285714286,random
BFN-GREY1-TSN244-UFSNATH,97,123,-1.4124697681670522e-15,22,39,1.7692307692307692,random
PTA-GREYN1-TSN203-UNISA-SN,98,122,-1.547526547025643e-15,22,39,2.230769230769231,random
JNB3,99,121,-1.2635566921646096e-15,22,39,2.4615384615384617,random
JNB1,100,120,-1.1311913326267965e-15,23,40,2.0833333333333335,random
PZB-GREY1-TSN384-SANBIP,101,119,-2.049110588180634e-15,22,43,2.6153846153846154,random
CPT-GREYCBD1-TSN275-MCM,102,118,-1.5222062168019877e-15,23,43,1.6666666666666667,random
DUR-TSN19-MUT,103,117,-1.3470504837925289e-15,23,44,3.0833333333333335,random
MTZ,104,116,-1.2963299870219841e-15,22,44,3.1666666666666665,random
PTA-TSN397-ARCPPRI,105,115,-1.5654429055752083e-15,22,45,1.9166666666666667,random
ELS-GREY1-TSN108-WSU-CHS,106,114,-1.7615421534527283e-15,21,45,3.1666666666666665,random
DBN-GREY1-TSN132-MRC,107,113,-1.1188930252717722e-15,20,45,1.6666666666666667,random
CPT-GREYCBD1-TSN641-SAEON,108,112,-1.4397973768614523e-15,19,46,1.5833333333333333,random
CPT6,109,111,-1.4911780368027853e-15,19,45,2.75,random
JNB-GREY2-TSN99-CSMI,110,110,-1.0970950455723136e-15,19,44,3.0833333333333335,random
PHU,111,109,-1.2412011062154289e-15,18,44,1.8181818181818181,random
JNB-GREY2-TSN42-UJBU,112,108,-1.0970950455723136e-15,18,43,1.4545454545454546,random
PTA-GREYN1-TSN298-ARCOVI,113,107,-1.081131010430734e-15,17,44,1.6363636363636365,random
